*HASH_VALUE	bodypartID	name	ia	da	p	pia	pda	description
_ACB9BC721BA65099	HHead	头部			头部			
_278A7C5D654814CD	HChest	胸部			胸部			
_A2D940906B29B889	HArms	手臂			手臂			
_B1CAFC85DB767C9C	HHands	手部			手部			
_20A8389BAC987C9F	HLegs	腿部			腿部			
_E18820962C586494	HFeet	脚部			脚部			
_ACB9BC7B1B375099	QHead	头部			头部			
_E80BB4A21A9838B5	QBody	身体			身体			
_C96F0919D2F8DC71	QFrontPaws	前腿			前腿			
_08A1A8FEABC3CD11	QFrontHooves	前腿			前腿			
_23B95F02A87957B0	QRearPaws	后腿			后腿			
_D880990C5BE9DCB7	QRearHooves	后腿			后腿			
_2836645DDE8874AD	LKHead	头部			头部			
_ED86C05FE298A4B9	LKBody	身体			身体			
_39BFC0EBE486B512	LKFrontPaws1	前腿			前腿			
_79BFC0EBE486B512	LKFrontPaws2	前腿			前腿			
_D92BB508D8F884A6	LKRearPaws1	后腿			后腿			
_D93BB508D8F884A6	LKRearPaws2	后腿			后腿			
_283664575C8874AD	FKHead	头部			头部			
_ED86C0596098A4B9	FKBody	身体			身体			
_DBBA7473640310B0	FKPaws1	腿部			腿部			
_1BBA7473641310B0	FKPaws2	腿部			腿部			
_66B6A47A4A7ADCC2	FKWings1	翅膀			翅膀			
_66B6A47ACA7ADCC2	FKWings2	翅膀			翅膀			
_ACB9BC701B865099	FHead	头部			头部			
_E80BB4971AE738B5	FBody	身体			身体			
_C40D15A82A36DF2C	FFrontFins1	前鳍			前鳍			
_C41D15A82A36DF2C	FFrontFins2	前鳍			前鳍			
_67B624EBAAF630A4	FRearFins1	后鳍			后鳍			
_67B628EBAAF630A4	FRearFins2	后鳍			后鳍			
_ACB9BC6C1B465099	BHead	头部			头部			
_E80BB4931AA738B5	BBody	身体			身体			
_25897F8F25594780	BFeet1	脚部			脚部			
_2589838F25594B80	BFeet2	脚部			脚部			
_2C68746BA436D3C2	BWings1	翅膀			翅膀			
_2C68746BA446D7C2	BWings2	翅膀			翅膀			
_8061E6E18C3EA521	PUpperTrunk	上部树干			上部树干			
_ECEA3087A666CCC3	Ptrunk	树干			树干			
_E7469C4D9B5A0C9D	PLeaves1	叶			叶			
_E7469C4DDB5A0C9D	PLeaves2	叶			叶			
_C3EE9906771FB524	PLowerTrunk	下部树干			下部树干			
_DFA67A5CC7DECDE6	PVisibleRoots	可见根须			可见根须			
