*HASH_VALUE	faction	name	da	ia	member	mda	mia
_A0EC3CB6728A80B6	fyros	Fyros			Fyros		
_E10CC4B36E98C09E	matis	Matis			Matis		
_2DCA2CC01F48D0B6	tryker	Tryker			Tryker		
_224BC0AE0EA920A2	zorai	Zoraï			Zoraï		
_A7882077E757D4B4	bandit	强盗			强盗		
_AC0AD4AB2947CC7C	civil	平民			平民		
_6388290BE32850A7	black_kami	劫掠者			劫掠者		
_2BF98095A426C07F	degen	退化者			退化者		
_2A9A98AAE9E7B874	fauna	动物			动物		
_A8F93F8ED3E7C6CD	fauna_carnivore	食肉动物			食肉动物		
_A9890F92163796CD	fauna_herbivore	食草动物			食草动物		
_2B7ABCB32B36E474	flora	植物			植物		
_58767495AA0A0894	goo	胶质			胶质		
_64584C9E66D83075	kami	Kami			Kami		
_2059C0A2A31898AB	karavan	Karavan			Karavan		
_2C0AD4B1ABA7EC86	kitin	Kitin			Kitin		
_A85CA3F578D722AB	tribe_ancient_dryads	远古树妖			远古树妖		
_7C0E65967AB061E7	tribe_antikamis	反 Kami 者			反 Kami 者		
_EA5025FB69C9F0B1	tribe_barkers	吠叫者			吠叫者		
_D4B097EF96E6E67A	tribe_beachcombers	海滩拾荒者			海滩拾荒者		
_55E23F9137476662	tribe_black_circle	黑环			黑环		
_2335A26F01B5D68B	tribe_cholorogoos	Cholorogoos			Cholorogoos		
_1E767658BC34C67F	tribe_cockroaches	蟑螂			蟑螂		
_E8A578485AA340D4	tribe_company_of_the_eternal_tree	永恒之树社团			永恒之树社团		
_83BEF92D6C48E01E	tribe_corsair	海盗			海盗		
_6769CCCA2D0A5CA7	tribe_cute	Cuzans			Cuzans		
_694BCB10D6E4515B	tribe_darkening_sap	暗化树液			暗化树液		
_2126A262C4C30D2F	tribe_dune_riders	沙丘骑手			沙丘骑手		
_E536CE73C206A68B	tribe_ecowarriors	生态战士			生态战士		
_9BA60676076C3DEE	tribe_firebrands	纵火者			纵火者		
_225B4E15B7DC079F	tribe_first_deserter	初代逃兵			初代逃兵		
_C23F69132AF97CA3	tribe_frahar	Fraiders			Fraiders		
_B459CBF1392BE778	tribe_frahar_hunters	Frahar 猎手			Frahar 猎手		
_EC39A49C646848A5	tribe_gibbay	Gibads			Gibads		
_748A396FE96F21E5	tribe_goo_heads	胶质脑袋			胶质脑袋		
_4255EE5EC3CBACFE	tribe_green_seed	绿之种			绿之种		
_36BF4380A26E67C9	tribe_hamazans_of_the_dead_seed	死之种子的 Hamazan			死之种子的 Hamazan		
_08ADBC69EE67A864	tribe_icon_workshipers	圣像崇拜者			圣像崇拜者		
_2C7F49FC279914B1	tribe_keepers	守护者			守护者		
_B43A6B56730DC785	tribe_kitin_gatheres	Kitin 采集者			Kitin 采集者		
_A8C2504C2E8823C1	tribe_lagoon_brothers	泻湖兄弟			泻湖兄弟		
_6BB0290BAA691CB1	tribe_lawless	不法之徒			不法之徒		
_6A902D076BA918B1	tribe_leviers	Leviers			Leviers		
_C3DB437B861E6ADF	tribe_master_of_the_goo	胶质大师			胶质大师		
_73A03E377C347598	tribe_matisian_border_guards	Matis 边境守卫			Matis 边境守卫		
_AC8C76BBA486E2D1	tribe_night_turners	转夜者			转夜者		
_26BA3AC6DFB6A6A8	tribe_oasis_diggers	绿洲掘井者			绿洲掘井者		
_60880A71C5C57A8B	tribe_pyromancers	火术士			火术士		
_97374672C3C1C124	tribe_recoverers	回收者			回收者		
_7AFE3D837B2009EF	tribe_renegades	变节者			变节者		
_3D1FC91565CB65F5	tribe_restorers	守望者			守望者		
_1DE3F3E192C07A88	tribe_root_tappers	根须采割者			根须采割者		
_D8154262BC9AADAE	tribe_sacred_sap	神圣树液			神圣树液		
_154227EA1B939C8E	tribe_sap_gleaners	树液拾取者			树液拾取者		
_48A6B980052E65DF	tribe_sap_slaves	树液奴隶			树液奴隶		
_7E9F917E7D1139F8	tribe_scorchers	焚烧者			焚烧者		
_B819BFF3346C0F85	tribe_shadow_runners	暗影行者			暗影行者		
_938B861B1593F579	tribe_siblings_of_the_weeds	杂草同胞			杂草同胞		
_7758FFC63C5BB3C3	tribe_silt_sculptors	淤泥雕刻者			淤泥雕刻者		
_AD3F7D06E88A34B1	tribe_slavers	奴隶贩子			奴隶贩子		
_BF9E553529793923	tribe_smuglers	走私者			走私者		
_BBC9FEAA5F459B84	tribe_the_arid_matis	旱地 Matis			旱地 Matis		
_B07F6A1601F0E5E6	tribe_the_kuilde	Kuilde			Kuilde		
_C295B382822077E7	tribe_the_slash_and_burn	刀耕火种			刀耕火种		
_6A2B10CEED297892	tribe_tutors	训导师			训导师		
_E59D6A166AEB3F9E	tribe_water_breakers	破水者			破水者		
_EBDAEECB1DE61EBB	tribe_woven_bridles	编织缰绳			编织缰绳		
