*HASH_VALUE	item ID	name	ia	da	p	pia	pda	description
_108D5B88207F7D6F	barman_bottle	酒保的瓶子			酒保的瓶子			
_719D75E0E9FAF0F4	big_barrel	大木桶			大木桶			
_AAF8ADB6F06BA817	big_living_sculpture	大型活体雕塑			大型活体雕塑			
_C53473989DD38D80	black_medicine	黑色药剂			黑色药剂			
_095D69DC159A2000	blood_vial	血液小瓶			血液小瓶			
_A131A17CC3622A69	blue_medicine	蓝色药剂			蓝色药剂			
_387D063C9F8B2F9A	botanist_letter	植物学家的信			植物学家的信			
_9C281F7594E74586	botanist_vial	植物学家的小瓶			植物学家的小瓶			
_6E7AE080AAA7CCAD	bottle	瓶子			瓶子			
_29FA4C81EB47209E	casket	小匣			小匣			
_BBECE763FBDA4FB3	crystalized_spell	晶化法术			晶化法术			
_5C103DC5358D1E61	cure_expert_letter	治愈专家的信			治愈专家的信			
_265C0F99DC8713C2	fv_arrowhead	奇异箭头			奇异箭头			
_C4ED4DE60E405F1D	fv_seal1	矿工的印章			矿工的印章			
_E86A8EB0119EB7CA	fy_cheveux_long01	Fyros 长发型			Fyros 长发型			
_08ED1BECA63BB6A3	fy_cheveux_medium01	Fyros 中发发型			Fyros 中发发型			
_EB1DCF4259795BA3	fy_cheveux_shave01	Fyros 剃发发型			Fyros 剃发发型			
_2B173132EAEC8EFA	fy_cheveux_short01	Fyros 短发型			Fyros 短发型			
_877F6110A184F0D1	fy_visage	Fyros 面具			Fyros 面具			
_0DA85C68D7243322	goo_swarmplants_fiber	胶质 Shooki 纤维			胶质 Shooki 纤维			
_50837C60DDD54337	goo_swarmplants_fruit	胶质 Shooki 果实块			胶质 Shooki 果实块			
_07E1F360B1AB936E	goo_vampignon_fungus	胶质 Vampignon 真菌			胶质 Vampignon 真菌			
_AF317BF35957C6A6	goo_varinx_blood	胶质 Varinx 血液小瓶			胶质 Varinx 血液小瓶			
_511564B194595F6C	goo_yber_sticky_glands	胶质 Yber 黏性腺体			胶质 Yber 黏性腺体			
_E7BEF850FC164ED3	green_liquid_vial	Nexus 水晶			Nexus 水晶			
_C7E4ABA61E238D86	green_medicine	绿色药剂			绿色药剂			
_C035657CDDA5C56C	guard_scroll	卫兵的卷轴			卫兵的卷轴			
_90CA0A490DD942DA	heavy_armors_acreditation	重型护甲认证			重型护甲认证			
_7BFC96297B81110A	heavy_conch	厚重海螺			厚重海螺			
_9331326A3B23E68B	heavy_package	重型包裹			重型包裹			
_DBB8348E5856807B	iccm1bm	锤			锤			锤
_65E88895232AEB65	iccm1bs	杖			杖			杖
_E718DCA3538A686D	iccm1pd	匕首			匕首			匕首
_6488707B620B2364	iccm1ps	矛			矛			矛
_EACAB3B39EB6E83F	iccm1sa	斧			斧			斧
_E889CC98233B2F63	iccm1ss	剑			剑			剑
_94484CBE5F399830	iccm2bm	长锤			长锤			长锤
_1BB8749EDCB8C48A	iccm2pp	长矛			长矛			长矛
_5258C88DCD380856	iccm2sa	长斧			长斧			长斧
_5A7EEC172669A459	iccm2ss	长剑			长剑			长剑
_436DBB1E358B5F58	iccp1bb	弓手枪砸击弹药			弓手枪砸击弹药			弓手枪砸击弹药
_3F3DF30D366B0F6A	iccp1bp	弓手枪穿刺弹药			弓手枪穿刺弹药			弓手枪穿刺弹药
_3E6DFF12765B2F6E	iccp1bs	弓手枪劈砍弹药			弓手枪劈砍弹药			弓手枪劈砍弹药
_FD5B2B31FCE6C3A3	iccp1gb	手榴弹砸击弹药			手榴弹砸击弹药			手榴弹砸击弹药
_B99BDF3C80C7C392	iccp1gp	手榴弹穿刺弹药			手榴弹穿刺弹药			手榴弹穿刺弹药
_3B6BDB4240F7C397	iccp1gs	手榴弹劈砍弹药			手榴弹劈砍弹药			手榴弹劈砍弹药
_FB3E03FFFEC831C1	iccp1pb	手枪砸击弹药			手枪砸击弹药			手枪砸击弹药
_FB1C23DF7C6B31C1	iccp1pp	手枪穿刺弹药			手枪穿刺弹药			手枪穿刺弹药
_FBBC2BD7FEFB31C1	iccp1ps	手枪劈砍弹药			手枪劈砍弹药			手枪劈砍弹药
_FABC80E00B5310AA	iccp2ab	连发投射器砸击弹药			连发投射器砸击弹药			连发投射器砸击弹药
_399D80CF0C2214A8	iccp2ap	连发投射器穿刺弹药			连发投射器穿刺弹药			连发投射器穿刺弹药
_FACD80D44C6224A7	iccp2as	连发投射器劈砍弹药			连发投射器劈砍弹药			连发投射器劈砍弹药
_B4A6DBDA1D4C77CF	iccp2bb	弓式步枪砸击弹药			弓式步枪砸击弹药			弓式步枪砸击弹药
_F486CFE81D1C87AE	iccp2bp	弓式步枪穿刺弹药			弓式步枪穿刺弹药			弓式步枪穿刺弹药
_F576DBEB1D9C8BAF	iccp2bs	弓式步枪劈砍弹药			弓式步枪劈砍弹药			弓式步枪劈砍弹药
_B285FBD9DE3D6BCD	iccp2lb	投射器砸击弹药			投射器砸击弹药			投射器砸击弹药
_F265EFE7DE0D7BAC	iccp2lp	投射器穿刺弹药			投射器穿刺弹药			投射器穿刺弹药
_F355FBEADE8D7FAD	iccp2ls	投射器劈砍弹药			投射器劈砍弹药			投射器劈砍弹药
_676ADBF69C529D83	iccp2rb	步枪砸击弹药			步枪砸击弹药			步枪砸击弹药
_676A97E99902C991	iccp2rp	步枪穿刺弹药			步枪穿刺弹药			步枪穿刺弹药
_676AABEFD822E194	iccp2rs	步枪劈砍弹药			步枪劈砍弹药			步枪劈砍弹药
_2318C0C7E677F487	iccr1b	弓手枪			弓手枪			弓手枪
_ACF99894ECD50C64	iccr1p	手枪			手枪			手枪
_860F991BEE9421EC	iccr2a	连发投射器			连发投射器			连发投射器
_2D2780B469667C7D	iccr2b	弓式步枪			弓式步枪			弓式步枪
_2B67A4AB67A6C874	iccr2l	投射器			投射器			投射器
_E98864A1A126044B	iccr2r	步枪			步枪			步枪
_AC18B48AA53BFC92	iccsb	小圆盾			小圆盾			小圆盾
_2708889B625888BE	iccss	盾牌			盾牌			盾牌
_00B44957BFFF3E82	icfahb	Kostom 靴子			Kostom 靴子			Fyros 重型靴子
_CA11CCD4D4D5962B	icfahg	Kostom 手套			Kostom 手套			Fyros 重型手套
_C6F145D818C57A28	icfahh	Kostom 头盔			Kostom 头盔			Fyros 重型头盔
_7D95454943FF7681	icfahp	Kostom 裤子			Kostom 裤子			Fyros 重型裤子
_00370ACA2A356E44	icfahs	Kostom 护臂			Kostom 护臂			Fyros 重型护臂
_D1B3C577792C1176	icfahv	Kostom 背心			Kostom 背心			Fyros 重型背心
_81F459523C5F3A7C	icfalb	Hoben 靴子			Hoben 靴子			Fyros 轻型靴子
_CB51CCCF51E56E39	icfalg	Hoben 手套			Hoben 手套			Fyros 轻型手套
_FED55544C05F727B	icfalp	Hoben 裤子			Hoben 裤子			Fyros 轻型裤子
_01370AC566B49650	icfals	Hoben 护臂			Hoben 护臂			Fyros 轻型护臂
_4E13D576F68C2179	icfalv	Hoben 背心			Hoben 背心			Fyros 轻型背心
_7DEF59A9E4B63247	icfamb	Rilon 靴子			Rilon 靴子			Fyros 中型靴子
_B9B27213E694725F	icfamg	Rilon 手套			Rilon 手套			Fyros 中型手套
_C10F91A9E4B66639	icfamp	Rilon 裤子			Rilon 裤子			Fyros 中型裤子
_47350B01AA00B6AC	icfams	Rilon 护臂			Rilon 护臂			Fyros 中型护臂
_BC826A3A4D43AA74	icfamv	Rilon 背心			Rilon 背心			Fyros 中型背心
_6EF8792FEABA8C07	icfja	Fyros 脚环			Fyros 脚环			Fyros 脚环
_B76B4D85F89115DC	icfjb	Fyros 手镯			Fyros 手镯			Fyros 手镯
_F0F87921EABA3C00	icfjd	Fyros 头冠			Fyros 头冠			Fyros 头冠
_EC2B6D21F09F9DE7	icfje	Fyros 耳环			Fyros 耳环			Fyros 耳环
_AFFCA1196B7D9D01	icfjp	Fyros 吊坠			Fyros 吊坠			Fyros 吊坠
_5A5444D1EA4A68BB	icfjr	Fyros 戒指			Fyros 戒指			Fyros 戒指
_A4FB492AE1D96417	icfm1bm	Masson 锤			Masson 锤			单手 Fyros 锤
_76F07920E0F83C71	icfm1bs	Talus 杖			Talus 杖			单手 Fyros 杖
_47A04929D41E2559	icfm1pd	Jab 匕首			Jab 匕首			单手 Fyros 匕首
_76F0751C62970C6A	icfm1ps	Kronk 矛			Kronk 矛			单手 Fyros 矛
_AEF6A71BDF0B84FC	icfm1sa	Cleven 斧			Cleven 斧			单手 Fyros 斧
_C500A1D980E459E4	icfm1sab	燃烧 Cleven 斧			燃烧 Cleven 斧			单手燃烧斧
_76F0712A66088C71	icfm1ss	Blam 剑			Blam 剑			单手 Fyros 剑
