*HASH_VALUE	job ID	name	* noms français	ia	da	p	pia	pda
_7B0C6949087BEF17	IreFighter	狂战士	guerrier fou 			狂战士		
_DA264262C82FA5E4	Swashbuckler	浪荡剑客	bretteur			浪荡剑客		
_FF1001FD1B8460C5	KamicFist	Kami 之拳	poing kamique			Kami 之拳		
_E9959ADC3E303D21	BladeBearer	持刃者	porte lame			持刃者		
_AF5E35F1250C04D2	WindChild	风之子	enfant des vents			风之子		
_2F47F87A6F381C99	Runner	跑者	courreur			跑者		
_73AAF09AE4B710A3	Scout	斥候	éclaireur			斥候		
_C66185C2249CA8A6	FireLance	烈焰枪兵	lance-feu			烈焰枪兵		
_296AE474AB790894	Witherer	枯萎者	fletrisseur			枯萎者		
_AD68C069ED7714A0	Fouler	污染者	pestilent			污染者		
_B290F10227B8C8B3	Disturber	扰乱者	troubleur d'esprit			扰乱者		
_0250C5039B06F5C8	KamicFury	Kami 之怒	furie kamique			Kami 之怒		
_757B279C53FC9BAB	SpiritualShield	灵能护盾	bouclier spirituel			灵能护盾		
_EE4990771C86D494	Faker	佯攻者	trompeur			佯攻者		
_A045250E026EC63E	WindGuardian	风之守卫	gardien des vents			风之守卫		
_0B806EC710885A48	KamicGuardian	Kami 守护者	bouclier kamique			Kami 守护者		
_C4438A71C41C6642	SecondBreath	第二呼吸	second souffle			第二呼吸		
_2FE51E469C502DFD	LifeStealer	汲血者	voleur de vie			汲血者		
_FEBE4D8AEEBD5D18	SecondLife	第二生命	seconde vie			第二生命		
_B7AF21058A5F88E1	SapCristal	树液水晶	cristal de sève			树液水晶		
_DE48CAEB05734249	ScarletHunter	绯红猎手	chasseur écarlate			绯红猎手		
_31D7E2E30551753A	GreenHunter	翠绿猎手	chasseur vert			翠绿猎手		
_06635A6B444DEE4C	ShadowHunter	暗影猎手	chasseur de l'ombre			暗影猎手		
_99D26A1506D4F24B	AtysGuardian	Atys 守护者	gardien d'atys			Atys 守护者		
_2BB7F7E25BC3D54D	SandCaravanner	沙海商队者	caravanier des sables			沙海商队者		
_7CD608D036D57BF2	ImperialSupplier	帝国补给官	pourvoyeur impérial			帝国补给官		
_6C49C893E6B9849D	Steward	管家	intendants			管家		
_A8C84C6F6A9710A2	Hawker	行商	colporteurs			行商		
_44BE25E43BDAF009	FireMaster	火焰大师	maitre du feu			火焰大师		
_0BF32E6C860E7A26	FlowerMaster	花卉大师	maitre des fleurs			花卉大师		
_802D1DEA3BDAF002	LakeMaster	湖泊大师	maitre des lacs 			湖泊大师		
_348DF50C62FA70BB	SapMaster	树液大师	maitre de la sève			树液大师		
