*HASH_VALUE	outpost ID	name	description
_5B321558ABD3F7D2	fyros_outpost_04.outpost	Malmont 农场	前哨站建于 2489 年，废弃于 2494 年\n 面向专家级公会的挑战\n 这座前哨站建在 Malmont 与龙尾以南，其活动集中于这片敌对地区的资源开采。部分资源被运往 Dyron 村与附近的作坊。其余材料则在重兵护送下沿通往 Pyr 的道路运出。
_50ED8AA90BF8EFF5	fyros_outpost_09.outpost	高塔群农场	前哨站建于 2491 年，废弃于 2494 年\n 面向进阶级公会的挑战\n 这座前哨站的活动在 Frahar 猎手的影响下发展起来，他们意图开采本地区的资源。该部落频繁的武士巡逻队为保卫矿藏作出了巨大贡献，使采集者能够安心勘探、无惧袭击。
_53FC998C546B1C65	fyros_outpost_13.outpost	西 Blackburn 边境哨站	前哨站建于 2490 年，废弃于 2494 年\n 面向熟手级公会的挑战\n 这座前哨站建于一处位于燃烬森林边缘的节点之上，用于持续监视森林之火，以防其蔓延至绿洲地区。帝国的士兵们都将派驻西线视为一种荣耀。
_89C748F535AAF4B7	fyros_outpost_14.outpost	Blackburn 商栈	前哨站建于 2489 年，废弃于 2494 年\n 面向学徒级公会的挑战\n 这座前哨站是燃烧沙漠中最早设立的集散点之一。来自南方的旅人常在抵达首都之前在此停留休整、进行交易。它的名字取自西南方的燃烬森林。
_6BA8D5A58D8A1A4E	fyros_outpost_25.outpost	南端沙丘农场	前哨站建于 2490 年，废弃于 2494 年\n 面向专家级公会的挑战\n 这座前哨站建在本地区南部一处由 Kami 发现的节点之上，曾引发 Pyr 当局与拒绝向帝国效忠的 Fyros 诸氏族之间的摩擦。在收到一笔可观的贡金之后，这些蛮族的首领最终默许了这座农庄的存在。
_CA34A30E77B90623	fyros_outpost_27.outpost	焚木魔法图腾	前哨站建于 2490 年，废弃于 2494 年\n 面向大师级公会的挑战\n 这座建在燃烬森林深处、由帝国元素师控制的前哨站，旨在开发火焰之力。得益于法师们的实验，新的法术被创造出来，使秘术在 Fyros 社会中升格为真正的战争艺术。
_BDE3EE74BFBEBE61	fyros_outpost_28.outpost	焚木要塞	前哨站建于 2491 年，废弃于 2494 年\n 面向大师级公会的挑战\n 这座前哨站奉摄政官 Leanon 之令设防，保护燃烬森林免受掠夺者与帝国之敌的侵害。在其存续期间，驻守此地的守军不得不频繁面对焚烧者部落——那些觊觎魔火泉源的法师。
_FD20D1D4049E722D	tryker_outpost_06.outpost	翠谷商栈	前哨站建于 2489 年，废弃于 2493 年\n 面向学徒级公会的挑战\n 这座前哨站建在 Fairhaven 以西一处被悬崖环绕、枝叶繁茂的小谷中，很快就发展起繁荣的贸易活动，尤其与 Windermeer 村往来密切。然而，它也持续遭受强盗的袭击。
_5B18CB8946250B0A	tryker_outpost_10.outpost	泉源厅商栈	前哨站建于 2486 年，废弃于 2493 年\n 面向进阶级公会的挑战\n 这座交易站由走私者部落发展起来。Tryker 联邦的商人公会数次试图掌控本地区的交易，均收效甚微。民谚有云：在泉源厅，你能找到任何东西，甚至包括不可能之物。
_4EFEA1E7C0439509	tryker_outpost_16.outpost	墓园门研究中心	前哨站建于 2489 年，废弃于 2493 年\n 面向专家级公会的挑战\n 当一名探矿者在这座前哨站附近发现奇异的骨骸时，联邦的学者们对其进行了检验，却无从辨认其来历。尽管海滩拾荒者提出抗议——他们极不愿看到成群的钻机涌入墓园步道周边——一座研究中心还是在此建立。这片土地对他们而言神圣不可侵犯，被视为通往部落墓园的仪式之路。
