*HASH_VALUE	placeId	name	da	pr	p	pda	ppr
_84AF650B260BB428	region_majesticgarden	威严花园					
_06FE551623FBAC21	region_fleetinggarden	瞬息花园					
_DA073675680D99DC	region_groveofconfusion	困惑之林					
_A09DD42F2967E0BB	region_hiddensource	隐秘之源					
_86EA9D32C2EBD02C	region_knollofdissent	异见之丘					
_2E78B8C666F71C56	region_upperbog	上部沼泽					
_781E713068D7F0FB	region_hereticshovel	异端陋室					
_67C874A86C3B68AB	place_yrkanis	Yrkanis					
_A2D868B962D67093	place_davae	Davae					
_A4D890B762166893	place_natae	Natae					
_9DA990A8E9461CB1	place_arena	Arena					
_A3688C9568B89C81	place_avalae	Avalae					
_E778A80664D6FCBF	continent_matis	翠绿高丘					
_2BB98CB6EA59EC44	region_nland	Matis 森林					
_209AF856EBF9ACA9	matis_nland	Matis 之岛					
_68F9D8B02CD88085	place_stalli	Stalli					
_D0588CC466F88CA8	place_borea	Borea					
_68EAACBAA857347D	place_nistia	Nistia					
_E89984B1E9F91CB7	place_rosilio	Rosilio					
_5658D4A26878049C	place_miani	Miani					
_2A4800B92E49C494	region_nexus	Nexus					
_6C6AE4AB64195066	continent_nexus	小 Nexus					
_0C3E4110AAC8E5CE	region_the_under_spring	地下之泉					
_AC9958BA21141CAA	continent_sources	地下之泉					
_BF8B0179CCDBB515	region_the_abyss_of_ichor	灵液深渊					
_2CC9AC824C980062	continent_bagne	灵液深渊					
_0D640EA59E955242	region_the_land_of_continuty	延续之地					
_847D252FF0766478	region_the_sunken_city	沉没之城					
_466E5E377D0F1D1F	region_forbidden_depths	禁忌深处					
_28FAD8ABA678C4AA	continent_terre	废土					
_258341053327A09E	region_the_windy_gate	狂风之门					
_18061244372D7DE5	region_gate_of_obscurity	晦暗之门					
_DBC5896C810F9A3A	region_the_trench_of_trials	试炼之堑					
_451C824CC930C922	region_the_elusive_forest	迷踪之林					
_09D065F4E6EEE1C5	continent_route_gouffre	幽影之地					
_1F24195BC5E95297	region_citiesofintuition	直觉之城					
_E6B7ECCEEBB97CBC	region_maidengrove	处女之林					
_09A0641C6CBAADAE	region_havenofpurity	纯净庇护所					
_E5DFA9C729D9C4A5	region_groveofumbra	幽影之林					
_8241441EC40D59B7	region_knotofdementia	痴乱之结					
_260A78AC6E06B4B1	region_thevoid	虚空					
_E238809D26EB70C1	place_zora	Zora					
_8498DC7024D8D4AC	place_jen_lai	Jen-Laï					
_27A8B870E7B8E0B2	place_min_cho	Min-Cho					
_A858B86BC8C8CCAD	place_hoi_cho	Hoï-Cho					
_AA99DCB366B8A0B0	continent_zorai	枯萎之地					
_E44B30630AD884AB	zorai_nland	Zoraï 之岛					
_A57970968F804C83	place_qai_lo	Qaï-Lo					
_63783BADA4A74CAE	place_men_xing	Nen-Xing					
_8E58B09BEAC998A6	place_sheng_wo	Sheng-Wo					
