*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2	*commentaires
_C9391E419A297CBA	BFPA01	默认攻击							所有战斗动作的基础节。	默认攻击战斗节	
_57489F29E1668F3C	BFOA01	增加伤害							提高打击造成的伤害。	增加伤害选项	
_4A8C98814E07227B	BFOA02	命中速率							提高武器的射速。	提高射速选项	
_C3B593B0C08CCA25	BFOA03	精准攻击							提高攻击精准度，降低敌人闪避的几率。	精准攻击选项	
_CB5EC48119F69464	BFOA04	流血							造成开放性伤口引发流血 - 在 10 秒内造成额外伤害。	流血选项	
_8AEA768F779806A6	BFMA01	增加伤害 1							将伤害提升至最高翻倍 - 对 10 级以内的武器效率最大。	增加伤害 1 - 最大系数：$1INC_DMG	
_CAEA769077A80AA6	BFMA02	增加伤害 2							将伤害提升至最高翻倍 - 对 20 级以内的武器效率最大。	增加伤害 2 - 最大系数：$1INC_DMG	
_0AEA769177B80EA6	BFMA03	增加伤害 3							将伤害提升至最高翻倍 - 对 30 级以内的武器效率最大。	增加伤害 3 - 最大系数：$1INC_DMG	
_4BEA769277C812AB	BFMA04	增加伤害 4							将伤害提升至最高翻倍 - 对 45 级以内的武器效率最大。	增加伤害 4 - 最大系数：$1INC_DMG	
_0BEA769377D816A6	BFMA05	增加伤害 5							将伤害提升至最高翻倍 - 对 70 级以内的武器效率最大。	增加伤害 5 - 最大系数：$1INC_DMG	
_8CEA769477E81AA6	BFMA06	增加伤害 6							将伤害提升至最高翻倍 - 对 90 级以内的武器效率最大。	增加伤害 6 - 最大系数：$1INC_DMG	
_495B68D1F0657248	BFMA07	增加伤害 7							将伤害提升至最高翻倍 - 对 115 级以内的武器效率最大。	增加伤害 7 - 最大系数：$1INC_DMG	
_495B6CD1F075624B	BFMA08	增加伤害 8							将伤害提升至最高翻倍 - 对 140 级以内的武器效率最大。	增加伤害 8 - 最大系数：$1INC_DMG	
_495B70D1F0857A4D	BFMA09	增加伤害 9							将伤害提升至最高翻倍 - 对 165 级以内的武器效率最大。	增加伤害 9 - 最大系数：$1INC_DMG	
_C0FC365233B89470	BFMA10	增加伤害 10							将伤害提升至最高翻倍 - 对 190 级以内的武器效率最大。	增加伤害 10 - 最大系数：$1INC_DMG	
_00FC365273087871	BFMA11	增加伤害 11							将伤害提升至最高翻倍 - 对 215 级以内的武器效率最大。	增加伤害 11 - 最大系数：$1INC_DMG	
_40FC3652B3B88871	BFMA12	增加伤害 12							将伤害提升至最高翻倍 - 对 240 级以内的武器效率最大。	增加伤害 12 - 最大系数：$1INC_DMG	
_80FC3652F3089471	BFMA13	增加伤害 13							将伤害提升至最高翻倍 - 对 265 级以内的武器效率最大。	增加伤害 13 - 最大系数：$1INC_DMG	
_23BA3FF35F020E04	BFMC01	精准攻击 1							降低敌人闪避的几率 - 对 20 级以内的武器效率最大。	精准攻击 1 - 最大技能加成：+$1ATT_SKILL_MOD	
_63BA3FF45F121209	BFMC02	精准攻击 2							降低敌人闪避的几率 - 对 35 级以内的武器效率最大。	精准攻击 2 - 最大技能加成：+$1ATT_SKILL_MOD	
