*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_5179F57B8293F93C	AcurateBleedingShot	精准流血射击 			精准流血射击 			
_0779B6D36895A032	AcurateBreathlessShot	精准窒息射击			精准窒息射击			
_B436B3C3EBDAAAC5	AnimalSlideslip	动物滑撞			动物滑撞			
_789A7B66E3228290	AnimalStalking	动物潜行			动物潜行			
_CBCEF9DCFCDF911F	Apothecary	药剂师			药剂师			
_E50B5464278A586C	Area	区域			区域			
_A02E8E8B369FED60	ArmorAndWeaponSmithing	护甲与武器锻造			护甲与武器锻造			
_E2731A39AAE9816C	ArtAndCraft	艺术与工艺			艺术与工艺			
_8455814A9EE48079	AttackKamisKnowledge	进攻派 Kami 知识			进攻派 Kami 知识			
_8A04698DCE729817	AtysianRegeneration	Atys 再生			Atys 再生			
_D807D07E6A5B34BA	Axe	斧			斧			
_53C7C27B0C319674	BackdraftStab	回燃刺			回燃刺			
_9254448C8BC44CBF	BadLuck	厄运			厄运			
_AAB7A4D2689BB7D6	BarehandedCombat	赤手格斗			赤手格斗			
_51B5E2642040F92E	BersekAttack	狂暴攻击			狂暴攻击			
_034E41F4E84E6D05	BlackSmithing	铁匠术			铁匠术			
_6488E439E408A06E	Bleeding	流血			流血			
_9F068632FF7DBDFA	BlindingRage	狂怒			狂怒			
_B570F9CF2243C4FF	BlindShot	致盲射击 			致盲射击			
_2069AC63EC3860C2	BowGun	弓枪			弓枪			
_EA6FD908AF68C4B5	BowPistol	弓手枪			弓手枪			
_AA485039A648C46E	Building	建筑			建筑			
_826324376D59B61B	BullyraggingBlast	激怒爆击			激怒爆击			
_819DB9C0A269C01D	Camouflage	伪装			伪装			
_6738B07AE379D0AE	Caravan	Karavan			Karavan			
_5399A67402334998	CerebralFever	脑热			脑热			
_08214E7346C2C666	ClothTailoring	布匹裁剪			布匹裁剪			
_A938E464D4A6E0A7	Cooking	烹饪			烹饪			
_5B0CD28FD6511A84	CreatureHatred	生物憎恨			生物憎恨			
_A6863C576A570092	Dagger	匕首			匕首			
_28D95463EC2808B8	Desert	沙漠			沙漠			
