*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description
_D114DE6B770B08D3	abf01	默认攻击							默认战斗动作。
_81948476F7C02C12	aBFMA01	伤害提升 1							提升伤害（至多翻倍）——技能等级 10 时效率最高。
_8194847637E02C12	aBFMA02	伤害提升 2							提升伤害（至多翻倍）——技能等级 20 时效率最高。
_819484A477002C12	aBFMA03	伤害提升 3							提升伤害（至多翻倍）——技能等级 30 时效率最高。
_819484A4F9202C12	aBFMA04	伤害提升 4							提升伤害（至多翻倍）——技能等级 45 时效率最高。
_819484A4F8602C12	aBFMA05	伤害提升 5							提升伤害（至多翻倍）——技能等级 70 时效率最高。
_819484A438902C12	aBFMA06	伤害提升 6							提升伤害（至多翻倍）——技能等级 90 时效率最高。
_81943CABB8202C12	aBFMA07	伤害提升 7							提升伤害（至多翻倍）——技能等级 115 时效率最高。
_81943CA6BA302C12	aBFMA08	伤害提升 8							提升伤害（至多翻倍）——技能等级 140 时效率最高。
_81943CAB7A402C12	aBFMA09	伤害提升 9							提升伤害（至多翻倍）——技能等级 165 时效率最高。
_DDFF719D0E9B530E	aBFMA10	伤害提升 10							提升伤害（至多翻倍）——技能等级 190 时效率最高。
_DDFF85964EAB530E	aBFMA11	伤害提升 11							提升伤害（至多翻倍）——技能等级 215 时效率最高。
_DDFF719A4EBB530E	aBFMA12	伤害提升 12							提升伤害（至多翻倍）——技能等级 240 时效率最高。
_DDFF859D4ECB530E	aBFMA13	伤害提升 13							提升伤害（至多翻倍）——技能等级 265 时效率最高。
_2E67673587860FDF	aBFMC01	精准攻击 1							降低你的敌人闪避的几率——对推荐等级 20 的武器效率最高。
_2E67673508A60FDF	aBFMC02	精准攻击 2							降低你的敌人闪避的几率——对推荐等级 35 的武器效率最高。
_2E67673507D60FDF	aBFMC03	精准攻击 3							降低你的敌人闪避的几率——对推荐等级 50 的武器效率最高。
_2E67673589F60FDF	aBFMC04	精准攻击 4							降低你的敌人闪避的几率——对推荐等级 65 的武器效率最高。
_2E67673588360FDF	aBFMC05	精准攻击 5							降低你的敌人闪避的几率——对推荐等级 90 的武器效率最高。
_2E671F3C08C60FDF	aBFMC06	精准攻击 6							降低你的敌人闪避的几率——对推荐等级 115 的武器效率最高。
_2E671F3709D60FDF	aBFMC07	精准攻击 7							降低你的敌人闪避的几率——对推荐等级 140 的武器效率最高。
_2E671F370AE60FDF	aBFMC08	精准攻击 8							降低你的敌人闪避的几率——对推荐等级 170 的武器效率最高。
_2E671F3789060FDF	aBFMC09	精准攻击 9							降低你的敌人闪避的几率——对推荐等级 200 的武器效率最高。
_F1024ED620BDADB2	aBFMC10	精准攻击 10							降低你的敌人闪避的几率——对推荐等级 235 的武器效率最高。
_F1024EDB20CDADB2	aBFMC11	精准攻击 11							降低你的敌人闪避的几率——对推荐等级 275 的武器效率最高。
_E476C1DC32F82500	aBFMD01	流血 1							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 25 的武器效率最高。
_E476C5DD32082500	aBFMD02	流血 2							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 35 的武器效率最高。
_E426CDDE32182500	aBFMD03	流血 3							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 50 的武器效率最高。
_E476D1DF32282500	aBFMD04	流血 4							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 65 的武器效率最高。
_E426DDE032382500	aBFMD05	流血 5							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 90 的武器效率最高。
_A636BDE13248252E	aBFMD06	流血 6							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 115 的武器效率最高。
_6566BDE23258252E	aBFMD07	流血 7							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 140 的武器效率最高。
_A686BDE33268252E	aBFMD08	流血 8							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 165 的武器效率最高。
_6526C1E43278252E	aBFMD09	流血 9							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 200 的武器效率最高。
_EC6DE377614890A8	aBFMD10	流血 10							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 235 的武器效率最高。
_ED6DE777615890A8	aBFMD11	流血 11							造成持续性流血伤害效果（基于初始命中的伤害），持续 10 秒——对推荐等级 275 的武器效率最高。
_1CD63F5A46D02A42	abfcb01	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46E02A42	abfcb02	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46F02A42	abfcb03	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46002A42	abfcb04	HP 点数升级							赋予你一个消耗生命值的点数节。
_1CD63F5A46102A42	abfcb05	HP 点数升级							赋予你一个消耗生命值的点数节。
