*HASH_VALUE	title_id	name	women_name
_C27F65FEE99C5036	gn_apprentice_tracer	追踪者学徒	
_7F3E91DD23C6651F	gn_bandit_bountybeaches_1	血根帮	
_C53D8D3533B1790F	gn_bandit_bountybeaches_2	夺赏帮	
_3E7B70E3ECBA5115	gn_bandit_bountybeaches_3	恶名五人组	
_37A9127C4ABCBCE0	gn_bandit_citiesofintuition_1	凶兆之鸟	
_3F5B0C14CB0E21F1	gn_bandit_citiesofintuition_2	Zora Kovans	
_57E4B19BC9AF260B	gn_bandit_citiesofintuition_3	直觉之眼	
_448EF90B66A614CE	gn_bandit_dunesofexil_1	山脊劫掠者	
_A788B0A2E6C760B4	gn_bandit_dunesofexil_2	拦路强盗	
_C69E51219ED7DC5B	gn_bandit_dunesofexil_3	Dyron 恶龙	
_E718611C1F0788AA	gn_bandit_dunesofexil_4	走私帮	
_C4BE65A0844B690C	gn_bandit_enchantedisle_1	Tyler 撕裂者	
_9ADF725B7C1C1806	gn_bandit_enchantedisle_2	恶意法师	
_3F3E09153DEF6D16	gn_bandit_enchantedisle_3	倔强 Mektoubs	
_01AC1C6DF31F1510	gn_bandit_fleetinggarden_1	绿林劫掠者	
_B5172C0DEA700512	gn_bandit_fleetinggarden_2	死寂之眼	
_7F8B7009241C4904	gn_bandit_fleetinggarden_3	高阶监视者	
_3937401685703D0C	gn_bandit_fleetinggarden_4	倏忽领主	
_3C9C380C9FE53D11	gn_bandit_fleetinggarden_5	种子狂徒	
_F18AE58CB2BF35EC	gn_bandit_forbidden_depths_1	Eva 穿刺手	
_D66D610C6879888A	gn_bandit_forbidden_depths_2	切割手	
_1EC30E8485DFF1BB	gn_bandit_forbidden_depths_3	凶兽匪帮	
_68381E88C26F31EA	gn_bandit_forbidden_depths_4	躲龙帮	
_070E0D04128AA908	gn_bandit_frahartowers_1	峡谷潜行者	
_807011C2371D8918	gn_bandit_frahartowers_2	骇人 Stavons	
_862C50089D53D90A	gn_bandit_frahartowers_3	狂怒之剑	
_008F41019353BD07	gn_bandit_frahartowers_4	Frahar 烈焰帮	
_EF311E8103FE91EB	gn_bandit_gate_of_obscurity_1	心碎者	
_5353A573E4E0A660	gn_bandit_gate_of_obscurity_2	恐怖商人	
_67C6E27B09DF09BD	gn_bandit_gate_of_obscurity_3	山谷克星	
_5875CA8281BE599C	gn_bandit_gate_of_obscurity_4	绯红闲汉	
_23CC358CC1AF71D0	gn_bandit_groveofconfusion_1	疯狂少女帮	
_B99BFC8849AFB5EF	gn_bandit_groveofconfusion_2	丛林暴君	
_5092C28CC3AF65A9	gn_bandit_groveofconfusion_3	劈砍 Slathes	
_825D4501D593E01A	gn_bandit_groveofumbra_1	杀手女王	
_7E4E990951939D19	gn_bandit_groveofumbra_2	暴脾克星	
_A45789F0595597AD	gn_bandit_groveofumbra_3	黑 Lams	
_25685DF79B872862	gn_bandit_groveofumbra_4	莽撞者	
_80DF8592A819BD17	gn_bandit_havenofpurity_1	疯乱混混	
_00AEEDE21EFCA10E	gn_bandit_havenofpurity_2	Homin 追猎者	
_EEFECD94463195ED	gn_bandit_havenofpurity_3	狂怒之翼	
_819D2D8F82D0311E	gn_bandit_hereticshovel_1	水渠窃贼	
_5A43C5037F2F0642	gn_bandit_hereticshovel_2	陋室异教徒	
_43EDE1E15F559421	gn_bandit_hereticshovel_3	陋室幽灵	
_E8C8B4A11DB87494	gn_bandit_hiddensource_1	破坏者	
_85BF1D09DBA72848	gn_bandit_hiddensource_2	闹狱帮	
_E6EF550D9193AC4F	gn_bandit_hiddensource_3	Jena 之咒	
_B1BE56506C2069A3	gn_bandit_imperialdunes_1	巨龙之眼	
_44DEA9CFA8D93016	gn_bandit_imperialdunes_2	沙丘潜行者	
_88BEC9E2E8CBF0D2	gn_bandit_imperialdunes_3	Pyr 粉碎者	
_3DE9C1DF93DB6519	gn_bandit_imperialdunes_4	Pyr 异教徒	
_447BD4C0CA6F2519	gn_bandit_knollofdissent_1	边境突袭者	
_1D51A486CADEE1D6	gn_bandit_knollofdissent_2	异见施法者	
_712BF97BC66E45FC	gn_bandit_knollofdissent_3	Highcliff 骑手	
_898B54126C39B32A	gn_bandit_knollofdissent_4	割喉者	
_29BD64056C2984B5	gn_bandit_knollofdissent_5	鞭笞者	
_05FB700F2D189428	gn_bandit_knollofdissent_6	走私帮	
_B8DE2964BE3FF51F	gn_bandit_knotofdementia_1	横暴兄弟会	
_42ACE4BE27449922	gn_bandit_knotofdementia_2	Zora 之刺	
_02BC600EFBFB7517	gn_bandit_knotofdementia_3	Zora 跳跃者	
_454C6873F12F95FB	gn_bandit_lagoonsofloria_1	沼泽浪人	
_7E7CD4CDE8FFC503	gn_bandit_lagoonsofloria_2	泻湖剥皮者	
_B8678CD4C57EC104	gn_bandit_lagoonsofloria_3	Diller 同伙	
_414B940EA0D4D4A9	gn_bandit_lagoonsofloria_4	泥沼同伙	
_BBA94714E89F8D11	gn_bandit_lagoonsofloria_5	诅咒大娘	
_5A81286630BAA17F	gn_bandit_lagoonsofloria_6	原罪七剑	
_853D39269E827D01	gn_bandit_libertylake_1	自由海盗	
_C33DD9A4BBCC0DF2	gn_bandit_libertylake_2	Cristabell 剥皮者	
_C48B0C2CE3A27DFE	gn_bandit_libertylake_3	狂怒之友	
_859D151821D34719	gn_bandit_maidengrove_1	暗影强盗	
_C4AD4D23E4F514C2	gn_bandit_maidengrove_2	平原洗劫者	
_954E7508A1E5847B	gn_bandit_maidengrove_3	湖畔闲汉	
_77B82012736F81FF	gn_bandit_majesticgarden_1	Natae 之怒	
_BFCDA06D471A1814	gn_bandit_majesticgarden_2	潮转帮	
_BBB90F16F55F3528	gn_bandit_majesticgarden_3	Davae 魔爪	
_3DDBA036073F4510	gn_bandit_majesticgarden_4	Avalae 魅惑者	
_7D2BA0C38A701116	gn_bandit_majesticgarden_5	边境灾星	
_A67AE5E00EB6D4A6	gn_bandit_nexus_1	西部叛军	
_66C7F870257908B4	gn_bandit_nexus_2	高阶监视者	
_AA4738F5A1D50CB5	gn_bandit_nexus_3	Nexus 绞杀者	
_F24DB97A15FAC4C1	gn_bandit_nexus_4	结社施法者	
_395EDDB991CA791B	gn_bandit_oflovaksoasis_1	龙息	
_3AADF5CA915BA516	gn_bandit_oflovaksoasis_2	暗影骑手	
_E95EAA4E7B4091E8	gn_bandit_oflovaksoasis_3	龙火天使	
_7EED459A7E214513	gn_bandit_oflovaksoasis_4	暴烈砍手	
_097D11F65653A92A	gn_bandit_outlawcanyon_1	峡谷亡命徒	
_C50D79A49C6E5D25	gn_bandit_outlawcanyon_2	战斗烈焰	
_2B075DF25CA7DCA5	gn_bandit_outlawcanyon_3	海盗	
_80AF15F78A007C0B	gn_bandit_sawdustmines_1	Vinni 细剑手	
_80FE55F21BB920D0	gn_bandit_sawdustmines_2	碎骨者	
_1A275BDD3C0FFD72	gn_bandit_sawdustmines_3	林丘强盗	
_2D263E7D7E7B50E1	gn_bandit_the_abyss_of_ichor_1	死亡贩子	
_DBF5AE38007CE076	gn_bandit_the_abyss_of_ichor_2	灵液杀手	
_DD01CFF581BFE161	gn_bandit_the_abyss_of_ichor_3	树液哨卫	
_3EC02929A45C68F9	gn_bandit_the_abyss_of_ichor_4	掠夺者	
_07960A91C4FC90AA	gn_bandit_the_elusive_forest_1	亚麻恶魔	
_74EF4296893C44CC	gn_bandit_the_elusive_forest_2	棕色勇士	
_74EF2D8D450C48D1	gn_bandit_the_elusive_forest_3	绿殇	
_D933A2426C500E77	gn_bandit_the_land_of_continuty_1	暗影地霸	
_8A6C2BBB9371E25E	gn_bandit_the_land_of_continuty_2	原始根须亲王	
_60F36E2D6CBF1A71	gn_bandit_the_land_of_continuty_3	洞穴怪人	
_D9347E2F6CBF417B	gn_bandit_the_land_of_continuty_4	龙哥帮	
_9EF3BA7F1956AA6C	gn_bandit_the_land_of_continuty_5	亡命掘壕帮	
_3EDC0515DC1061F9	gn_bandit_the_sunken_city_1	灵魂姐妹	
_E1EC2927EF5A9486	gn_bandit_the_sunken_city_2	响尾蛇帮	
_73C7FD302E5131EF	gn_bandit_the_sunken_city_3	撕裂 Jaks	
_3B80A1980BEF5003	gn_bandit_the_sunken_city_4	多情胶质滴	
_001E69F6F50F5505	gn_bandit_the_trench_of_trials_1	轰爆手	
_96D47E8F0D24E671	gn_bandit_the_trench_of_trials_2	高地异教徒	
_1A94661692153A64	gn_bandit_the_trench_of_trials_3	大山匪帮	
_49451A6B8CA7FE5F	gn_bandit_the_under_spring_1	暗泉绞刑手	
_1D8FD191C4D07DBF	gn_bandit_the_under_spring_2	Cooky 怪人帮	
_295A1A8605213D00	gn_bandit_the_under_spring_3	诡异 Stavons	
_32AEF51BA88A9CFF	gn_bandit_the_under_spring_4	灭口者	
_BC6DED7F3D618DAE	gn_bandit_the_windy_gate_1	心碎辣妹	
_3CC6DD543131A9BB	gn_bandit_the_windy_gate_2	狂风之门清除者	
_C21EA03BC6F025F9	gn_bandit_the_windy_gate_3	捕灵者	
_DA589CB42947D47D	gn_bandit_thefount_1	撕咬者	
_96A58730EEE9A872	gn_bandit_thefount_2	泉源老汉帮	
_F1060D99053850E3	gn_bandit_thefount_3	泉源私掠帮	
_C7FFA120E9487C64	gn_bandit_thefount_4	自由游侠	
_46631112F45E8D85	gn_bandit_thesavagedunes_1	林中恶徒	
_7B8DE82EC87E6524	gn_bandit_thesavagedunes_2	凶蛮劈砍手	
_FC3C24DFDBAF8D0E	gn_bandit_thesavagedunes_3	运河刀客	
_7E04E081859F25C4	gn_bandit_thesavagedunes_4	Thesos 窃贼	
_5660570DDCB1FE6F	gn_bandit_thescorchedcorridor_1	地下切割手	
_1B34DAA9C1191008	gn_bandit_thescorchedcorridor_2	隧道猎犬	
_9C85EA7E293CE28C	gn_bandit_thescorchedcorridor_3	街巷流浪者	
_207C211BE8E86C54	gn_bandit_thevoid_1	幽林叛军	
_9F6638B16165E4A1	gn_bandit_thevoid_2	胶质擒拿者	
_E4A80110294A810D	gn_bandit_thevoid_3	虚空恶徒	
_59F7589C95EAA096	gn_bandit_upperbog_1	树液刮取者	
_185774C1A71AF07E	gn_bandit_upperbog_2	伏击帮	
_14435826A9D9F893	gn_bandit_upperbog_3	Stalia 游荡者	
_B2404D2220669C88	gn_bandit_windsofmuse_1	Muse 翻腾者	
_4350251BA0B61854	gn_bandit_windsofmuse_2	悬崖鞣匠	
_D650811B61269C81	gn_bandit_windsofmuse_3	Muse 劫道者	
_04B29E80817EAD6C	gn_bandit_windsofmuse_4	西部邪风	
_974EBE71857F49AB	gn_class_apprentice_trader	商人学徒	
_0FFBE24C1B17562E	gn_class_arcane_apprentice	资深精英法师	
_1DB612296E4B0E7A	gn_class_arcane_master	老练精英法师	
_7BE6B973CA02D906	gn_class_archery_lord	老练强健射手	
_AD3FF465C4B1B9B1	gn_class_archery_master	资深强健射手	
_BF35F2474E2FA8CA	gn_class_archery_recruit	新锐强健射手	
_05BE38C86D31411B	gn_class_assassin	新锐强力射手	
_A666A89D6CEB5CB6	gn_class_bodyguard	护卫	
_449DB905FE446315	gn_class_bowmen	新锐普通射手	
_680D09761B791F2F	gn_class_captain	资深大师武士	
_1C34927CC4BCC4BC	gn_class_charm_adept	新锐强力法师	
_1B641E863959B414	gn_class_charm_expert	资深强力法师	
_6EFAA6800280817F	gn_class_cleric	老练精英治疗师	
_40FEA1C52B2C3D1F	gn_class_conjurer	老练强健法师	
_6C880A670543357B	gn_class_conscript	新锐普通武士	
_FB6632F5443E62D8	gn_class_cure_adept	新锐大师治疗师	
_61183C6503FFD960	gn_class_cure_expert	老练大师治疗师	
_7FB6706CBE4120F2	gn_class_cure_master	资深大师治疗师	
_BE3E17C1E5AF781E	gn_class_elite	新锐精英武士	
_C16D0E8E440040D5	gn_class_executionner	资深强力射手	
_C88D38E8BDFB5B0C	gn_class_expert	资深精英武士	
_810C44A8689F7522	gn_class_fighter	资深强力武士	
_2607968AB1F9A49C	gn_class_forager	采集者	
_AC5AE7D73951AFFB	gn_class_healing_apprentice	新锐普通治疗师	
_D924028287EEB4B7	gn_class_legionnaire	新锐强力武士	
_60020157C3426C76	gn_class_life_surgeon	资深精英治疗师	
_3B7BD730818039A2	gn_class_magician	老练大师法师	
_C1AF9702679197A5	gn_class_major	新锐大师武士	
_AC0F99FE664BB07A	gn_class_medic	资深强健治疗师	
_6796449BAB5A3CA5	gn_class_milician	监管官	
_9ABCE64F229C1585	gn_class_mystical_adept	新锐大师法师	
_04045EE8F440D490	gn_class_mystical_expert	资深大师法师	
_6437B0A16788A4A7	gn_class_noble	战友	
_306D211280A075FF	gn_class_priest	新锐精英治疗师	
_81A0B1E0E4F45394	gn_class_private	资深强健武士	
_DD65628AC5908F40	gn_class_professional	老练强力射手	
_C721327A4500FD3C	gn_class_range_adept	老练普通射手	
_77B5B2678B6CA8D5	gn_class_range_master	老练精英射手	
_C0D3209F684F812E	gn_class_recruit	资深普通武士	
_0FA6226535F72A71	gn_class_ritual_master	老练强健治疗师	
_C30AB1164AC0411D	gn_class_sergent	老练强力武士	
_7FFF6DF82F9B91C1	gn_class_shaman	新锐强健治疗师	
_A1F32251304D271B	gn_class_shooting_elite	新锐精英射手	
_837DE27F7C6A9D8D	gn_class_shooting_lord	资深精英射手	
_82B1DD0D48A0591C	gn_class_soldier	老练普通武士	
_F12BBB0B04C0FDF3	gn_class_sorcerer	新锐精英法师	
_15424D1C22F66692	gn_class_sorcery_apprentice	新锐强健法师	
_3C131E697F2F64D1	gn_class_sorcery_master	资深强健法师	
_B8289067014F7DF5	gn_class_spellcaster	新锐强健法师	
_43642EED81DEDCD2	gn_class_throwing_adept	新锐大师射手	
_01D5384B828A4025	gn_class_throwing_expert	资深大师射手	
_9CE6404780F73596	gn_class_throwing_master	老练大师射手	
_A65814B3DE6B2CA1	gn_class_trader	探险家	
_65F880AA6E6968A6	gn_class_traveler	旅行者	
_64D602589240C40B	gn_class_treat_adept	资深强力治疗师	
_DDBB2EEB2064F6B7	gn_class_treat_apprentice	新锐强力治疗师	
_80EFF5E168038F09	gn_class_trooper	新锐强健武士	
_7EBCE72C828089A5	gn_class_warchief	老练大师武士	
_4389D91207102D19	gn_class_warlock	老练强力法师	
_BA59B0BB85F1552C	gn_class_warlord	老练精英武士	
_D43585BDEEEBB00E	gn_class_warmaster	战争大师	
_05AFBDDA1F892C16	gn_class_warrior	老练强健武士	
_286E452F6126AF9C	gn_darkeningsap_static_guard_5	卫兵	
_45B7DCA3A9E04CB2	gn_forager	采集者	
_B59C8E8683909DC8	gn_fraharhunters_guards_w_10	强力卫兵	
_5CEB24AD6A6904BC	gn_fyros_defender	Fyros 保卫者	
_28582835AF18C8B4	gn_fyros_officer	Fyros 军官	
_4DC81556748F111A	gn_green_seed_noble	普通战争首领	
